ACCT 40610	This course is intended to help students acquire a broad perspective of taxation that is relevant for current as well as future tax regimes.  The basic federal income tax provisions applicable to individuals, sole proprietorships, corporations, and small business firms are covered in this course, which emphasizes their rationale and significance in business and investment decision making.  The course is an integrated blend of tax law, tax planning, tax research, accounting, economics, and finance.  Specific topics include: gross income; business and individual deductions; business and individual tax credits; losses and loss limitations; issues concerning property transactions such as basis, gain and loss, nontaxable exchanges, capital gains and losses, section 1231, and recapture provisions; self-employment tax considerations; and capital structure.  Course cannot be taken Pass/Fail. 
ACCT 40620	The use of the corporate form of operating a business is growing in popularity in the United States for both tax and non-tax reasons. This course provides an in-depth study of federal income tax laws as they are applied to corporations and shareholders. Topics to be examined include: definition of a corporation for tax purposes; the problems of forming a corporation, including the design of the corporation's capital structure; computation of the corporate tax liability for individual corporations and controlled groups of corporations; taxation of S corporations; penalty surtaxes (i.e., the personal holding company tax and the accumulated earnings tax) applicable to corporations; payment of non-liquidating distributions to the corporation's shareholders; tax consequences of liquidating the corporate entity and corporate reorganizations. Students will be required to complete both a Form 1120 and 1120S and, working in groups, write up solutions to tax research assignments and case studies.  Course cannot be taken Pass/Fail.
ACCT 40660	This is an experiential learning course.  Students enrolled in the course will have classroom instruction for the first month.  The classroom instruction will focus on the fundamentals of federal and Indiana state income tax returns.  Students will also be trained on the IRS provided tax return preparation software.  Beginning in February, students will work in the South Bend and Mishawaka community to provide income tax preparation services to low income individuals and families.
ACCT 40670	This course is open to students who have previously taken ACCT 40660.  It is an experiential learning course.  Students enrolled in the course will have classroom instruction for the first month.  The classroom instruction will focus on the fundamentals of federal and Indiana state income tax returns.  Students will also be trained on the IRS provided tax return preparation software.  Beginning in February, students will work in the South Bend and Mishawaka community to provide income tax preparation services to low income individuals and families.
ACCT 40750	The course is designed to raise students' level of awareness and ability to recognize ethical issues facing the accounting profession and accounting professionals.  Course learning objectives include understanding key concepts, and improving students' skills of moral reasoning and ethical decision making.  Course cannot be taken Pass/Fail.
ACCT 40790	To introduce students to the accounting practices of fund accounting as it relates to governmental and not-for-profit organizations.  The class will also provide a basic understanding of these entities to students who will either work in the not-for-profit sector or who will be exposed to them in public accounting.  The class will be both theory and practice oriented.  Course cannot be taken Pass/Fail.
ACCT 40840	This course is designed with two objectives in mind: (1) Expand students' perspective of accounting beyond GAAP by exploring the economics of corporate disclosure in the capital markets, namely with respect to information flows and key economic agents; and (2) Introduce students to capital market research with an emphasis on corporate disclosure research. Topics covered in the course include disclosure regulation, information overload, managerial myopia, earnings guidance, conference calls, selective disclosure, and emerging technologies as well as institutional details and research regarding key economic agents (boards, auditors, financial press, analysts and investors).  (This course may not be taken pass fail.)
ACMS 10140	This course is intended for students who may or may not plan to use statistics in their chosen careers, but wish nevertheless to become informed and astute consumers. Topics include statistical decision-making and inference, sampling, data representation, random variables, elementary probability, conditional probabilities, independence, Bayes' rule, and linear regression analysis. The methodology will focus on a hands-on approach. Concepts and terminology will be introduced only after thorough exposure to situations that necessitate the concepts and terms. Care will be exercised to select a variety of situations from the many fields where statistics are used in modern society. Examples will be taken from biology and medicine (e.g. drug testing, wild animal counts), the social sciences, psychology, and economics. 
ACMS 10141	"A conceptual introduction to probability and statistics for students in the Glynn Honors program. The course will cover Probability: basic probability theory and probability models for random variables; Descriptive statistics: graphical and numerical summaries of data; and Statistical Inference: sampling distributions, confidence intervals, hypothesis tests and linear regression. Credit will not be given if the student takes both <a href=""/search/?p=ACMS%201014X"" data-action=""result-detail"" data-group=""code:ACMS 1014X""  class=""notoffered"">ACMS 1014X</a> and either ACMS 10145 or 10140"
ACMS 10560	Concepts and applications of integration, geometric and power series, and introduction to complex numbers as time allows. Concepts will be illustrated using visualizations and animations using a computer algebra system (CAS).  Course is limited to students intending to major in ACMS.
ACMS 11560	Lab that supplements Applied Calculus II.  Course is limited to students intending to major in ACMS
ACMS 20220	This course is an introduction to computer programming using the Python programming language, with an emphasis on solving mathematical and statistical problems.
ACMS 20340	An introduction to the principles of statistical inference following a brief introduction to probability theory. This course does not count as a science or mathematics elective for mathematics majors. NOTE: Students may not take more than one of ACMS 20340, BIOS 40411 and MATH 20340. Not open to students who have taken MATH 30540.
ACMS 20550	An introduction to the methods of applied mathematics. Topics include: basic linear algebra, partial derivatives, Taylor and power series in multiple variables, Lagrange multipliers, multiple integrals, gradient and line integrals, Green's theorem, Stokes theorem and divergence, Fourier series and transforms, introduction to ordinary differential equations. Applications to real-world problems in science, engineering, the social sciences and business will be emphasized in this course and ACMS 20750. Computational methods will be taught. Credit is not given for both ACMS 20550 and PHYS 20451.
ACMS 20620	The objective of this class is to impart the fundamental knowledge in linear algebra and computational linear algebra that are needed to solve matrix algebra problems in application areas. Appropriate software packages will be used. 
ACMS 20750	The fundamental methods of applied mathematics are continued in this course.  Topics include: variational calculus, special functions, series solutions of ordinary differential equations (ODE), orthogonal functions in the solution of ODE, basic partial differential equations and modeling heat flow, vibrating string, and steady-state temperature. Topics in complex function theory include contour integrals, Laurent series and residue calculus, and conformal mapping. The course concludes with a basic introduction to probability and statistics.  Credit is not given for both ACMS 20750 and PHYS 20452.
ACMS 21220	Lab for Scientific Computing with Python.
ACMS 21340	two Lab sessions for Statistics for Life Sciences  (ACMS 20340)
ACMS 22550	Tutorial for Introduction to Applied Mathematics Methods I
ACMS 22750	Tutorial for Introduction to Applied Mathematics Methods II.
ACMS 30440	An introduction to the theory of probability and statistics, with applications to the computer sciences and engineering. Topics include discrete and continuous random variables, joint probability distributions, the central limit theorem, point and interval estimation and hypothesis testing.
ACMS 30530	An introduction to the theory of probability, with applications to the physical sciences and engineering. Topics include discrete and continuous random variables, conditional probability and independent events, generating functions, special discrete and continuous random variables, laws of large numbers and the central limit theorem. The course emphasizes computations with the standard distributions of probability theory and classical applications of them.
ACMS 30540	An introduction to mathematical statistics. Topics include distributions involved in random sampling, estimators and their properties, confidence intervals, hypothesis testing including the goodness-of-fit test and contingency tables, the general linear model and analysis of variance.
ACMS 30600	Introduction to statistical methods with an emphasis on analysis of data. Estimation of central values. Parametric and nonparametric hypothesis tests. Categorical data analysis. Simple and multiple regression. Introduction to time series.  The SOA has approved this course for VEE credit in Applied Statistics.
ACMS 30810	In this course, students will learn different methods for designing experiments, analyzing the data, and presenting the results.  Topics will include ANOVA, Completely Randomized Designs, Block Designs, Factorial Designs, Split-Plot Designs, Nested Designs, fixed and random effects, contrasts, and covariates. 
ACMS 31600	Lab for Statistical Methods &amp; Data Analysis I
ACMS 40100	An introduction to the mathematical foundations of cryptography. Topics include: number theory and basic algebraic structures, select pre-quantum cryptosystems, lattice problems, lattice-based cryptosystems, reduction algorithms, signature schemes, and zero knowledge protocols. Python will be used for the implementation of cryptographic algorithms.
ACMS 40210	This course presents a variety of topics associated with programming for scientific computing. Students will be introduced to programming tools that are widely used in scientific computing and data science, as well as learn when and how to use these tools for data visualization, data analysis, and machine learning. The course will also teach students how to program with databases. 
ACMS 40212	This course covers fundamental material necessary for using high performance computing in science and engineering. There is a special emphasis on algorithm development, computer implementation, and the application of these methods to specific problems in science and engineering.
ACMS 40390	An introduction to the numerical solution of ordinary and partial differential equations. Topics include the finite difference method, projection methods, cubic splines, interpolation, numerical integration methods, analysis of numerical errors, numerical linear algebra and eigenvalue problems, and continuation methods.
ACMS 40485	Complex analysis is a core part of applied and computational mathematics. Asymptotic methods for evaluation of functions and integrals, special functions (Gamma, elliptic, Bessel, ...), and conformal mappings arise naturally in applications, e.g.,  in the solution of physical models from electromagnetism, optics, tumor growth, fluid flow... In this course, an introduction to complex analysis will be given with special regard to those topics occurring in modeling and computation.
ACMS 40640	Artificial neural networks are a class of machine learning algorithms inspired by biological neural networks in the brain. In recent years, great strides in the theory and application of artificial neural networks have made them one of the most powerful and popular choices for many machine learning applications. This course will cover the underlying theory and practice of using neural networks for machine learning problems, beginning with simple networks for linear and logistic regression and building up to deep convolutional neural networks. Students will learn to build and train artificial neural networks in Python using the popular PyTorch software package. Students should be comfortable with linear algebra, calculus, and probability/statistics. Experience with Python will not be assumed, but some previous programming experience will be helpful.
ACMS 40730	Introductory course on applied mathematics and computational modeling with emphasis on modeling of biological problems in terms of differential equations and stochastic dynamical systems. Students will be working in groups on several projects and will present them in class in the end of the course.
ACMS 40852	This course introduces advanced statistical methods used in biological and biomedical research. Topics include study designs commonly used in health research including case-control, cross-sectional, prospective and retrospective studies; statistical analysis of different data types arising from biological and health research including Gaussian data, categorical data, count data, survival data, correlated/clustered data models, and diagnostic tests. All statistical methods are illustrated with examples from the biology and health sciences. Students are expected to have basic knowledge in R programming, probabilities and distribution theory, descriptive statistics, statistical inferences including hypothesis testing and estimation, and working knowledge of linear regression, before they can register for the course.  Upon completion of the course, students are able to recognize and give examples of different types of data arising in biological and health studies, and apply appropriate methods to analyze such data.
ACMS 46800	Readings not covered in the curriculum which relate to the student's area of interest.
ACMS 48498	Research in collaboration with members of the faculty. Evaluation of performance will be accomplished through regular discussions with the faculty member in charge of the course.
ACMS 48500	To produce a thesis that describes work of an undergraduate research project. The undergraduate thesis must go beyond what is found in an undergraduate course, and present a novel approach to a subject.
ACMS 60102	This course extends the concepts learned in Actuarial Modeling I and Applied Corporate Finance to allow for the modelling of asset and liability cash flows along with reinvestment strategies. An understanding of these asset-liability models are critical in the world of actuarial science for reserve and capital calculations, as well, as business planning purposes. Students will again use modelling software. This time they will be developing the value of an insurance company.  This course will also provide a foundational understanding of the topics covered in the FAM actuarial exam.
ACMS 60110	In this course, students will learn the role of predictive analytics in actuarial science. The goal will be able to identify a business problem, determine how the available data relates to possible analyses, and use the information to propose models. Students will work with various data types, understand principles of data design, and construct a variety of common visualizations for exploring data while evaluating data quality, resolving data issues, and identifying regulatory and ethical issues. Then make use of RStudio, basic R packages, and commands for the analysis and modeling.  This course will also provide a foundational understanding of the topics covered in the Predictive Analytics actuarial exam.
ACMS 60212	This course covers fundamental material necessary for using high performance computing in science and engineering. There is a special emphasis on algorithm development, computer implementation, and the application of these methods to specific problems in science and engineering.
ACMS 60590	Fundamental aspects of the finite-element method are developed and applied to the solution of PDEs encountered in science and engineering. Solution strategies for parabolic, elliptic, and hyperbolic equations are explored. Spring.
ACMS 60650	This course covers fundamental theory for partial differential equations as well as tools and methods for solving these equations, and the implication for the PDE models in applications. Topics include fundamental solutions, maximum principles, model derivations, solution behaviors and the implications, etc. Selected topics from current research will also be included.
ACMS 60790	A solid introduction to numerical partial differential equations with an emphasis on finite difference methods for time dependent equations and systems of equations. Interpolation. Stability and convergence of solutions in systems of PDE arising in science and engineering. High order accurate difference methods and Fourier methods. Well posed problems and general solutions for a variety of types of systems of equations with constant coefficients. Stability and convergence. Hyperbolic systems of equations.
ACMS 60801	A first graduate course in the theory of statistics. Basic estimation including unbiased, maximum likelihood and moment estimation; testing hypotheses for standard distributions and contingency tables; confidence intervals and regions; introduction to nonparametric tests and linear regression.
ACMS 60852	This course introduces advanced statistical methods used in biological and biomedical research. Topics include study designs commonly used in health research including case-control, cross-sectional, prospective and retrospective studies; statistical analysis of different data types arising from biological and health research including Gaussian data, categorical data, count data, survival data, correlated/clustered data models, and diagnostic tests. All statistical methods are illustrated with examples from the biology and health sciences. Students are expected to have basic knowledge in R programming, probabilities and distribution theory, descriptive statistics, statistical inferences including hypothesis testing and estimation, and working knowledge of linear regression, before they can register for the course.  Upon completion of the course, students are able to recognize and give examples of different types of data arising in biological and health studies, and apply appropriate methods to analyze such data.  &lt;p&gt;Pre-requisites for this course are:  a working knowledge on R programming, probabilities and distribution theory, descriptive statistics, statistical inferences including hypothesis testing and estimation.&lt;/p&gt;
ACMS 60880	This course introduces optimization algorithms that are frequently employed to solve problems arising in data science. A significant portion of the course is devoted to first-order gradient-based algorithms, including elementary gradient descent, stochastic gradient descent, coordinate gradient descent, the projected gradient method for constraint problems, the subgradient method for non-smooth problems, among others. Additionally, the course introduces some second-order and zeroth-order methods to expand students’ optimization toolkit.
ACMS 60890	Statistical Foundations of Data Science gives a thorough introduction to commonly used statistical models, contemporary statistical machine learning techniques, and algorithms, along with their mathematical insights and statistical theories. It covers high-dimensional statistics, sparsity and covariance learning, machine learning, and statistical inference. 
ACMS 63010	A discussion of current topics in ACMS by guest lecturers and members of the faculty (offered every semester).   For first-year doctoral students, to receive an S grade, a report summarizing (a) subject matters and (b) main results of a minimum of 8 ACMS colloquiums must be sent to DGS by the last week of classes. Students register for the course in each semester of the first year to receive 0.5 credit hours per semester (1 credit hours per year).  For second- to fourth- year doctoral students, to receive an S grade,  they need to attend a minimum of 4 Applied Mathematics or Statistics seminars in each semester but only register for the spring semester each year. 0.5 credit hours will be awarded  each year after attending at least 4 seminars each semester.
ACMS 63200	The seminar is intended to help graduate students prepare for teaching. The topics discussed are determined in part by the graduate students participating, and may vary from year to year. There may be presentations by experts representing such units as the First Year of Studies or the Kaneb Center. There may be panel discussions and presentations by experienced graduate students and faculty from the ACMS Department. There may be practice presentations by graduate students preparing to teach for the first time. The discussions focus on teaching mathematics and statistics at Notre Dame, specific ACMS courses that graduate students are likely to teach, and what Notre Dame undergraduate students expect from their instructor. There may be helpful hints on using the blackboard well, eye contact, learning students names, and constructing good exams or exercises.
ACMS 67695	Directed independent work on a project to be counted towards the master's degree in Applied and Computational Mathematics and Statistics.
ACMS 70640	The course introduces the foundational and computational background to use deep neural networks. The students will be introduced to programming tools that are widely used in scientific computing and data science, as well as learn when and how to use these tools for data visualization, data analysis, and machine learning
ACMS 80695	In this course, the student will develop a proposal for a research project, under the guidance of the instructor, and then carry out individual research work as proposed. The course does not consist of lecturing by the course instructor.  Instead, students will give presentations on the progress of their projects periodically throughout the course. The instructor will provide advice and suggestions on the project and oversee the project to ensure it is relevant to ACMS. At the end of the practical course, the student will give a presentation on his/her research and write a research report.   The grading of the course (letter grade) will be based on the following: participation in presentation, scientific and professional attitude regarding project planning, and performance of the project work.  Grading of the project work will be based on usage of relevant scientific literature, handling scientific material, independence, critical and creative thinking, formulation of new scientific questions that came up during the project, relevance of the work in written and oral form, and the overall scientific quality of the written research report and oral presentation.
ACMS 80870	The subject matter of this course will be an advanced topic in statistics.
ACMS 96697	Readings not covered in the curriculum which relate to the student's area of interest.
ACMS 98698	Research and dissertation for resident graduate students.
ACMS 98900	Required of nonresident graduate students who are completing their dissertations in absentia and who wish to retain their degree status.
ACTG 20100	An introduction to financial accounting and the accounting profession, with an emphasis on the decision-usefulness of accounting information. The course stresses the relation of accounting to economic activity, organizing information for decision-making, the resource acquisition decision, the uses of cash and noncash resources, the accounting for selling and manufacturing activities, and the information needs of multiple owners, lenders and equity holders. A prerequisite of all accountancy and finance courses. Course cannot be taken Pass/Fail.
ACTG 20200	A continuation of the introduction to accounting, with an emphasis on the use of accounting information and analysis for management decision and control. The purpose of the course is the learning of accounting techniques such as budget preparation, cost-volume-profit analysis, variable costing, contribution margins, relevant costing, performance evaluation of business units, transfer pricing and responsibility accounting for the planning, decision making and management control inside an organization. To complete a general knowledge of accounting and its usefulness in financial reporting and control the course also includes an introduction to auditing, attestation, corporate governance and the impact of Sarbanes Oxley Act on business organizations, plus an introduction to US taxation for individuals and corporations.  Course cannot be taken Pass/Fail.
AFST 10550	This course is for learners who have completed Beginning Swahili I and II. Although Swahili is a traditionally spoken indigenous language in east Africa, reading and writing can be empowering and important for languages which are regaining official status (as Swahili is an official language of Kenya and Tanzania, as well as the African Union). This class will build on the foundations covered in the first year of Swahili courses and incorporate literature authored by Swahili speaking people. Repeatable for advanced learners.
AFST 10551	This is a topics course that covers a variety of cultural learning lectures and discussions related to the Swahili speaking people of Tanzania, Kenya, and Uganda. Led by our visiting Fulbright instructor, participants will have the opportunity to gain authentic insights, perspectives, and experiences from an international scholar. Conducted in English, no Swahili language proficiency required.
AFST 10576	Creole is spoken by an estimated seventeen million people. Creole is spoken on the islands of the Caribbean and the western Indian Ocean that were former or current French colonial possessions and in the countries where many of these former island residents have emigrated, including the United States, Canada, France, Dominican Republic, Bahamas and other parts of Latin America and the Caribbean. Haitians are the largest Creole speech community of approximately eleven and a half million speakers. Creole language courses provide a valuable foundation for Notre Dame faculty, staff and students working to understand and address critical issues related to Haiti and the Francophone world, from language and culture to history and education, from engineering to public health. Creole language and literature are of increasing interest in the dynamic field of Francophone studies. Creole has also become a major area in the field of linguistics, especially in areas of language evolution, sociolinguistics and linguistic anthropology. This is a three-credit introductory language course. The instructor will balance both spoken and written Creole as well as exercise reading and listening.
AFST 10577	Swahili is offered through the Less Commonly Taught Languages (LCTs) Program at the Center for the Study of Languages and Cultures (CSLC). Class days and times are TBA and will be determined based on the availability of the students who have registered for the course. Days and times will be selected after all students have registered but before the add/drop period has finished. This course will be taught by a visiting scholar for whom Swahili is a native language. For more information, please visit the CSLC website (cslc.nd.edu) and select the &quot;Students&quot; tab.
AFST 10578	On completion of the intermediate level course, students will use some of the following strategies to maintain communication, but not all of the time and inconsistently, able to ask questions, ask for clarification, self-correct or restate when not understood, circumlocute, recognizes and uses some culturally appropriate vocabulary, expressions, and gestures when participating in everyday interactions. Recognizes that differences exist in cultural behaviors and perspectives and can conform in familiar situations, understands main ideas and some supporting details on familiar topics from a variety of texts; comprehends main ideas and identifies some supporting details; may show emerging evidence of the ability to make inferences by identifying key details from the text; ccomprehends information related to basic personal and social needs and relevant to one's immediate environment such as self and everyday life, school, community, and particular interests; comprehends simple stories, routine correspondence, short descriptive texts or other selections within familiar contexts; generally comprehends connected sentences and much paragraph-like discourse; comprehends information-rich texts with highly predictable order; sufficient control of language (vocabulary, structures, conventions of spoken and written language, etc.) to understand fully and with ease short, non-complex texts on familiar topics; limited control of language to understand some more complex texts; may derive meaning by comparing target language structures with those of the native language; recognize parallels in structure between new and familiar language; comprehends high frequency vocabulary related to everyday topics and high frequency idiomatic expressions; may use some or all of the following strategies to comprehend texts, able to: skim and scan; use visual support and background knowledge; predict meaning based on context, prior knowledge, and/or experience; use context clues; recognize word family roots, prefixes and suffixes. Generally relies heavily on knowledge of own culture with increasing knowledge of the target culture(s) to interpret texts that are heard, read, or viewed.
AFST 10581	Swahili is offered through the Less Commonly Taught Languages (LCTs) Program at the Center for the Study of Languages and Cultures (CSLC). Class days and times are TBA and will be determined based on the availability of the students who have registered for the course. Days and times will be selected after all students have registered but before the add/drop period has finished. This course will be taught by a visiting scholar for whom Swahili is a native language. For more information, please visit the CSLC website (cslc.nd.edu) and select the &quot;Students&quot; tab.
AFST 20082	Through a multidisciplinary and cross-cultural exploration, this course will 1) introduce students to key concepts, themes, and theories in the field of Africana Studies; and 2) introduce students to the identities and experiences of black populations throughout the global African Diaspora.  Over the course of the semester, we will tackle the following questions: What is Africana Studies? What are the historical, intellectual, and political origins of Africana Studies?  What are race and ethnicity? What is blackness? What roles do class, culture, gender, nationality, and religion, play in blackness? What is the African Diaspora?  What role does Africa play in blackness? How do the arts, humanities, and social sciences help us investigate, analyze, conceptualize, represent, and understand this thing we refer to as &quot;blackness?&quot;  What are some of the historical, geographical, socio-political, and cultural points of divergence observable between populations of African descent throughout the Diaspora and what, if any, are the points of commonality that unite these dispersed populations?
AFST 20216	This course will introduce students to the main topics, themes, and debates in Atlantic history, focusing on Spanish and Portuguese America and the Caribbean. It will begin with an overview of slavery and other legal and labor systems in West Africa and the Americas, and then examine how and why the Portuguese and Spanish entered into a slaving trade in West Africa, and what ensued from contact with the American hemisphere after 1492. We will end with abolition and emancipation in the Americas. Along the way we will examine the rise and fall of &quot;Indian&quot; slavery, the cultural meanings of Blackness, the labor and economic conditions in urban settings as well as on rural plantations, and the strategies that enslaved people used to negotiate living conditions and achieve freedom. We will also pay careful attention to different kinds of resistance, including the formation of stable palenques of those who escaped slavery and a variety of rebellions, including the successful Haitian Revolution.
AFST 20302	More than a century before African slaves were trafficked to the Virginia colony in 1619, Christopher Columbus transported captured indigenous peoples to Spain from the New World. The dispossession and enslavement of non-Europeans in the colonization of the Americas was justified by Christians but also condemned by Christians with different economic and political interests. This development course in theology introduces students to the challenging intersection of faith, slavery, and freedom by exploring key figures, events, and movements that have shaped the complex historical legacy of Christianity in the Americas, a hemispheric past that remains ever bound together. In addition to Christianity's role in colonial expansion and racial ideology, the course especially considers how lived faith in God provided a catalyst for the empowerment and resistance of the oppressed and their advocates in shared struggles to attain greater social justice, racial equality, and political autonomy. From the &quot;Protector of the Indians&quot; Bartolomé de las Casas to César Chávez, and the &quot;Black Moses&quot; Harriet Tubman to Dr. Martin Luther King, Jr., the course explores these and other extraordinary figures of hope in the Americas who gave their lives to protest social violence and promote authentic expressions of faith. In the course, students will engage this turbulent past through a contextual approach to theology that examines idolatry, migration, land, liberty, poverty, social sin, nonviolence, and solidarity as normative categories relevant for addressing contemporary social crises afflicting our nation and earth.
AFST 20401	A music appreciation course requiring no musical background and no prerequisites. General coverage of the history, various styles, and major performers of jazz, with an emphasis on current practice. Receive permission from the instructor (ldwyer@nd.edu)
AFST 20600	This course will focus on the relationship between democratic institutions, peace, and economic/human development. While drawing on lessons from North America and Europe, we will focus largely on countries of Asia, Africa, Latin America, and the Middle East. During the semester, we will discuss and debate the merits of various explanations or hypotheses that political scientists have proposed to answer the following questions: Why are some countries more &quot;developed&quot; and democratic than others? Is development necessary for democracy or democracy necessary for development? What is the relationship between culture, development, and democracy?  How do different types of political institutions affect the prospects for development and democracy? Should/how should U.S. and other established democracies promote democratization? By the end of the course, the objectives are that students (1) learn the most important theories intended to explain why some countries are more democratic and &quot;developed&quot; than others, (2) understand the complexity of any relationship between democracy and development, and (3) grow in the ability to think about and intelligently assess the strengths and weaknesses of strategies intended to promote democracy and development.
AFST 20781	This course will examine the Latino experience in the United States, including the historical, cultural, and political foundations of Latino life. We will approach these topics comparatively, thus attention will be given to the various experiences of a multiplicity of Latino groups in the United States. This course has an optional community-engaged learning component with La Casa de Amistad.
AFST 30001	This course will explore the techniques of investigative journalism and produce high-quality public service projects based in the local community. It begins with a survey of the history of investigative reporting, from early 20th century muckrakers like Upton Sinclair to Woodward and Bernstein to new models in today's online world. Students will learn how to identify and judge potential investigative topics, work with databases to find solid documentation, interview a wide range of sources, and write stories appropriate to different journalism platforms. Students will work toward producing a piece that is publishable in a local newspaper or website
