ACCT 30110,"ACCT 20200,ACCT 24100,ACTG 20200"
BIOS 30424,BIOS 10171
BIOS 30456,"BIOS 10161,BIOS 10171,BIOS 20201"
BIOS 30456,"BIOS 10162,BIOS 10172,BIOS 20202"
BIOS 30465,BIOS 10172
BIOS 31341,"BIOS 20241,BIOS 30341,BIOS 34341,BIOS 34329"
BIOS 31401,BIOS 30401
BIOS 31401,"BIOS 10162,BIOS 10172,BIOS 20202"
BIOS 31408,BIOS 30408
BIOS 40203,"BIOS 30341,BIOS 20241,BIOS 20450,BIOS 34241,SC 20450,NSBH 20450"
BIOS 40339,BIOS 10161
BIOS 40339,BIOS 20201
BIOS 40339,BIOS 10171
BIOS 40340,BIOS 10171
BIOS 40340,BIOS 20201
BIOS 40340,BIOS 10161
BIOS 40414,BIOS 20241
BIOS 40415,"BIOS 10161,BIOS 10171,BIOS 20201"
BIOS 40415,"BIOS 10162,BIOS 10172,BIOS 20202"
BIOS 40425,"BIOS 10162,BIOS 20202,BIOS 10172"
BIOS 40451,BIOS 40450
BIOS 40528,BIOS 10172
BIOS 40565,BIOS 40450
BIOS 40572,BIOS 10172
BIOS 40580,"BIOS 30344,BIOS 20450,NSBH 20450"
BIOS 46494,BIOS 40491
BIOS 51340,BIOS 40339
BIOS 60132,BIOS 30318
BIOS 60532,"BIOS 60531,CHEM 50531"
CBE 20258,"MATH 20580,MATH 24580,MATH 326,ACMS 20620"
CBE 20260,CBE 20255
CBE 20261,"CHEM 10171,CHEM 10181,CHEM 10097"
CBE 20261,"PHYS 10310,PHYS 10411,PHYS 121,PHYS 10093"
CBE 20280,CBE 20255
CBE 30315,CHEM 10171
CBE 30338,CBE 20258
CBE 30356,"CBE 30355,AME 34331"
CBE 30386,"MATH 30650,MATH 34650,AME 30314,AME 34314,EGSC 34650,CHEM 20262,PHYS 20452,ACMS 20750"
CBE 31358,CBE 30356
CBE 40325,"CHEM 40420,BIOS 10172"
CBE 40435,"CBE 30367,CBE 30370"
CBE 40435,CHEM 30321
CBE 40448,CBE 40445
CBE 40477,CHEM 30321
CBE 40479,"CBE 31358,CBE 30386,CHEM 10172,CHEM 10176,CHEM 10182,CHEM 40420"
CBE 40623,CBE 20261
CBE 40698,"CE 30460,CBE 30355,AME 30331"
CBE 40725,CHEM 30321
CBE 40888,BIOS 10172
CBE 40888,"CHEM 10172,CHEM 10176,CHEM 10182"
CBE 40888,"CHEM 40420,CHEM 30338,CHEM 30341,CHEM 40630,CHEM 40631,CHEM 40560,BIOS 20241"
CBE 48902,CBE 48901
CBE 48903,CBE 48902
CDT 21102,CDT 20101
CDT 30020,"CDT 30010,CSE 10101"
CDT 30110,"DESN 20101,CDT 20101"
CDT 30425,ROSP 20202
CDT 30610,"ECON 10010,ECON 10011,ECON 10091,ECON 14100,ECON 14101,ECON 20010,ECON 20011"
CDT 30610,"ECON 10020,ECON 10092,ECON 14022,ECON 20020,ECON 24020,ECON 24021,ECON 24022"
CDT 40177,CDT 40430
CE 20700,"PHYS 10310,PHYS 10093,PHYS 10111,PHYS 11661,PHYS 10411,PHYS 20210"
CE 20700,"MATH 10350,MATH 10550,MATH 10091,MATH 10850,MATH 10250"
CE 30210,CE 30200
CE 30338,CE 40341
CE 30560,"CHEM 10171,MATH 10550"
CE 40285,CE 40270
CE 40358,CE 40350
CE 60276,CE 40270
CE 60358,CE 60350
CE 80200,CE 60250
CHEM 10122,"CHEM 10171,CHEM 10097,CHEM 10181"
CHEM 10176,"CHEM 10171,CHEM 10181,CHEM 10097"
CHEM 10176,"EG 10114,EG 10115,EG 10116,EG 10117,EG 10118"
CHEM 10182,CHEM 10181
CHEM 13172,CHEM 13171
CHEM 20262,"CHEM 10171,CHEM 10181"
CHEM 20262,"MATH 10560,MATH 10860,MATH 10360,MATH 10092"
CHEM 20273,CHEM 10172
CHEM 20284,CHEM 20283
CHEM 21274,"CHEM 11172,CHEM 11182,CHEM 51172"
CHEM 30301,CHEM 10172
CHEM 30301,CHEM 10182
CHEM 30301,"SC 20450,NSBH 20450"
CHEM 30301,"BIOS 20201,BIOS 10172,BIOS 10161"
CHEM 30322,CHEM 30321
CHEM 30324,"CHEM 10171,CHEM 10097,CHEM 10181"
CHEM 30324,"PHYS 10320,PHYS 10094"
CHEM 30333,"CHEM 10172,CHEM 10176,CHEM 10182"
CHEM 30338,"PHYS 30210,PHYS 10310,PHYS 20210"
CHEM 30338,"PHYS 30220,PHYS 10320,PHYS 20220"
CHEM 30342,CHEM 30341
CHEM 31322,CHEM 30321
CHEM 40404,CHEM 10172
CHEM 40404,CHEM 10182
CHEM 40404,SC 20450
CHEM 40404,NSBH 20450
CHEM 40420,"CHEM 10172,CHEM 10176,CHEM 10182,CHEM 20273,CHEM 20283"
CHEM 40436,CHEM 20274
CHEM 50172,"CHEM 10171,CHEM 10097,CHEM 10118"
CHEM 50532,"BIOS 60531,CHEM 50531"
CLGR 10002,CLGR 10001
CLGR 30012,CLGR 20003
CLGR 40011,CLGR 20003
CLGR 60011,CLGR 60004
CLGR 60012,CLGR 60004
CLLA 10002,CLLA 10001
CLLA 20003,CLLA 10002
CLLA 30004,CLLA 20003
CLLA 30075,CLLA 20003
CLLA 40017,"CLLA 40016,CLLA 20003,MI 40003"
CLLA 40054,CLLA 20003
CLLA 60002,CLLA 10001
CLLA 60004,"CLLA 60103,CLLA 60003,CLLA 60104"
CSC 45000,BIOS 40202
CSE 10102,CSE 10101
CSE 20110,"MATH 10550,MATH 10560,MATH 10091,MATH 10092"
CSE 20221,CSE 20311
CSE 20289,CSE 20311
CSE 20311,"MATH 10560,MATH 10092,MATH 10860,MATH 10550,ACMS 10560"
CSE 20311,"EG 10117,CSE 10101,CSE 10001"
CSE 20312,CSE 20311
CSE 21311,CSE 20311
CSE 30124,"MATH 20580,ACMS 20620"
CSE 30151,"CSE 20110,MATH 20810"
CSE 30264,"CSE 20312,CSE 24312"
CSE 30321,CSE 20221
CSE 30332,"CSE 20312,CSE 24312"
CSE 30341,"CSE 20312,CSE 24312"
CSE 30353,"CSE 30342,MATH 20550"
CSE 40113,"CSE 30151,CSE 34151"
CSE 40113,"CSE 20312,CSE 24312"
CSE 40171,"ACMS 30440,ACMS 30530,MATH 30440,EG 34440"
CSE 40373,CSE 20312
CSE 40567,"CSE 20312,CSE 24312"
CSE 40622,CSE 20312
CSE 40647,"ACMS 30440,ACMS 34440,EG 34440"
CSE 40677,CSE 20312
CSE 40685,CSE 20312
CSE 40693,CSE 20312
CSE 40728,CSE 20312
CSE 40746,CSE 30246
CSE 40777,CSE 40655
CSE 40868,"MATH 20610,MATH 20580,ACMS 20620"
CSE 40868,"CSE 20312,CSE 24312"
CSE 40883,CSE 20312
CSE 40982,CSE 30332
CSE 60567,CSE 30331
CSE 60625,CSE 20312
DESN 20115,"DESN 24101,DESN 24102,DESN 20101"
DESN 20120,DESN 20101
DESN 30101,"DESN 20101,CDT 20101"
DESN 30140,DESN 24101
DESN 30140,DESN 20101
DESN 30140,DESN 20115
DESN 30140,CDT 20101
DESN 30205,DESN 20200
DESN 40120,"DESN 20101,CDT 20101"
DESN 40202,DESN 20200
EALC 30312,EALC 30311
EALC 40412,EALC 40411
EALJ 10112,"EALJ 10111,EALJ 10002"
EALJ 10152,EALJ 10111
EALJ 11112,EALJ 10002
EALJ 20212,EALJ 20211
EALJ 20252,EALJ 10112
EALK 10112,"EALK 10111,EALK 10002"
EALK 20212,EALK 20211
ECON 10020,"ECON 10010,GLAF 20002"
ECON 20020,ECON 10010
ECON 30010,"ECON 10010,ECON 10091,ECON 10011,ECON 20010,ECON 20011,ECON 14100,ECON 14101"
ECON 30010,"MATH 10260,MATH 10560,MATH 10092,MATH 10860,MATH 10360,MATH 10460,MATH 14360"
ECON 30335,ACMS 10145
ECON 30340,"ECON 10010,ECON 10011,ECON 10091,ECON 20010,ECON 20011,ECON 10020,ECON 10092,ECON 20020,ECON 24021,ECON 14100,ECON 14101,ECON 14022,ECON 24020,ECON 24022"
ECON 30365,ECON 10010
ECON 30433,"ECON 10010,ECON 10011,ECON 20010,ECON 20011,ECON 10091"
ECON 30433,"ECON 10020,ECON 20020,ECON 10092,ECON 14022,ECON 24022,FIN 30220"
ECON 30535,ECON 10010
ECON 30750,"ECON 10010,ECON 10011,ECON 10091,ECON 12010,ECON 14100,ECON 14101,ECON 20010,ECON 20011,ECON 22010,ECON 24010,ECON 24011"
ECON 30750,"ECON 10020,ECON 10092,ECON 14022,ECON 20020,ECON 24020,ECON 24021,ECON 24022,ECON 24023"
ECON 30858,"ECON 10010,ECON 10011,ECON 10091,ECON 14100,ECON 14101,ECON 20010,ECON 20011"
ECON 30858,"ECON 10020,ECON 10092,ECON 14022,ECON 20020,ECON 24020,ECON 24021,ECON 24022"
ECON 40356,ECON 40354
ECON 40410,ECON 30331
ECON 40502,ECON 30331
ECON 40534,ECON 30020
ECON 40541,"ECON 30010,FIN 30210,FIN 34210"
ECON 40541,ECON 30331
ECON 40562,ECON 30010
ECON 40610,"ECON 30010,FIN 30210,FIN 34210,FIN 34211"
ECON 43330,ECON 30331
ECON 43345,ECON 30020
ECON 43402,"ECON 10010,ECON 10091,ECON 10011,ECON 10020,ECON 10092,ECON 20020,ECON 20010,ECON 20011"
ECON 43550,ECON 30331
ECON 43570,"ECON 30010,ECON 34010,ECON 34011,HESB 30102"
EE 10200,"EG 10118,CSE 20311"
EE 20221,"PHYS 10320,PHYS 10094"
EE 20222,"AME 30314,AME 34314,MATH 30650"
EE 20222,"PHYS 10320,PHYS 10094"
EE 20231,CSE 20133
EE 20241,"PHYS 10320,PHYS 10094"
EE 30023,"EE 30122,EE 34122,EE 30344"
EE 30023,"EE 30210,EE 30363"
EE 30053,"EE 30152,EE 34152,EE 30348,EE 34348,PHYS 30471"
EE 30062,PHYS 10320
EE 30210,MATH 20580
EE 37024,"EE 20231,EE 30321"
EE 37024,"EE 20241,EE 20242"
EE 37024,"EE 30122,EE 30344,EE 34122,EE 34344"
EE 37024,"EE 30210,EE 30363,ACMS 34440"
EE 40053,"EE 20241,EE 20242"
EE 40053,"EE 30152,EE 30348"
EE 40054,"EE 20241,EE 20242"
EE 40054,"EE 30152,EE 34152,EE 30348"
EE 40075,MATH 20580
EE 41440,EE 41430
EE 60573,EE 60563
EE 60655,EE 60550
EE 67047,EE 60558
EE 67072,EE 60563
EE 80666,EE 60566
EG 31243,"AME 21243,EG 21243"
EG 40424,EG 40423
EG 40425,EG 40423
EG 41243,"EG 31243,AME 31243"
EG 67502,EG 67501
ENER 37004,ENER 37003
ENGL 40750,ENGL 30101
ENGL 40850,ENGL 30850
ENGL 40851,ENGL 20002
ENGL 40852,ENGL 40850
ENGL 40855,ENGL 40852
EURO 20400,ROFR 20202
EURO 30721,ROIT 20202
EURO 40370,ROIT 20202
FIN 30402,"FIN 20150,FIN 24150,BAAL 20150,BAEG 20150,BASC 20150,BASC 24150"
FIN 30402,"ACCT 20100,ACCT 24100,ACCT 24101,ACTG 20100,BAAL 20100,BAEG 20100,BASC 20100"
FIN 40320,"FIN 20150,FIN 24150,BAAL 20150,BAEG 20150,BASC 20150"
FIN 40320,"ACCT 20100,ACCT 24100,ACCT 24101,ACTG 20100,BAAL 20100,BAEG 20100,BASC 20100"
FIN 40460,FIN 30400
FIN 40500,"FIN 20150,FIN 24150,BAAL 20150,BAEG 20150,BASC 20150"
FIN 40500,"ACCT 20100,ACCT 24100,ACCT 24101,ACTG 20100,BAAL 20100,BAEG 20100,BASC 20100"
FIN 40610,"FIN 30600,FIN 34600"
FIN 40610,"FIN 30100,ACCT 30100,ACCT 30110,ACCT 34100"
FIN 40620,FIN 30600
FIN 40640,"FIN 30400,FIN 30402,FIN 34400"
FIN 40640,"FIN 30600,FIN 34600"
FIN 40660,FIN 30600
FIN 40720,FIN 30600
FIN 40830,"FIN 30400,FIN 30402,FIN 34400"
FIN 40830,"FIN 30600,FIN 34600"
FTT 20260,ROSP 20202
FTT 30103,"FTT 10101,FTT 20101"
FTT 30103,"FTT 30101,FTT 30102,FTT 30460"
FTT 30456,FTT 10101
FTT 31005,FTT 21001
FTT 31125,FTT 21001
FTT 40121,FTT 30238
FTT 40125,FTT 21006
FTT 40410,FTT 30410
FTT 40502,FTT 10101
FTT 40604,FTT 21001
FTT 60121,FTT 30238
GE 10102,GE 10101
GE 20113,GE 20201
GE 20201,GE 10102
GE 20202,GE 20201
GE 30304,GE 20202
GLAF 40105,GLAF 10003
GSC 40001,GSC 10001
GSC 40531,GSC 10001
GSC 43510,ECON 30331
HESB 30102,"ECON 10010,ECON 10091,ECON 10011,ECON 20010,ECON 20011,ECON 14100,ECON 14101"
HESB 30102,"MATH 10260,MATH 10560,MATH 10092,MATH 10860,MATH 10360,MATH 10460,MATH 14360"
HESB 30104,ECON 10010
HESB 30304,"ECON 30010,FIN 30210,FIN 34210"
HESB 30343,"ECON 10010,ECON 10011,ECON 20010,ECON 20011,ECON 10091"
HESB 30343,"ECON 10020,ECON 20020,ECON 10092,ECON 14022,ECON 24022,FIN 30220"
HESB 30398,ECON 10010
HESB 30537,ECON 10010
HHS 40590,ENGL 30101
HHS 43550,ECON 30331
HHS 43701,"PHIL 10100,PHIL 14102,PLS 20301,MI 13185"
IIPS 30314,"ECON 10010,ECON 10011,ECON 20010,ECON 20011,ECON 10091"
IIPS 30314,"ECON 10020,ECON 20020,ECON 10092,ECON 14022,ECON 24022,FIN 30220"
IIPS 33101,IIPS 20101
ILS 20901,ROSP 20202
ILS 30202,"ECON 10010,ECON 10011,ECON 20010,ECON 20011,ECON 10091"
ILS 30202,"ECON 10020,ECON 20020,ECON 10092,ECON 14022,ECON 24022,FIN 30220"
ILS 33808,"CSC 33950,CSC 33963,CSC 33958,CSC 33938,THEO 33950,THEO 33963,THEO 33936,STV 33958,CST 23466,CST 23461,CST 23478,CST 23451,CST 33936,CST 33936,CST 33938,HESB 33100"
IRLL 10102,"IRLL 10101,IRST 10101,CLIR 10101"
IRLL 20103,"IRLL 10102,IRST 10102,CLIR 10102"
IRLL 20203,"IRLL 20103,IRLL 60103,IRST 20103"
IRLL 40318,IRLL 20203
IRLL 60102,"IRLL 60101,CLIR 10101"
IRLL 60103,"CLIR 60102,IRLL 60102"
IRLL 60203,"IRLL 20103,IRLL 60103,IRST 20103"
IRST 10102,"IRST 10101,IRLL 10101,CLIR 10101"
ITAO 30160,"ITAO 20200,ITAO 24201,ECON 30331,ACMS 30540,ACMS 30600,MATH 30540"
ITAO 30160,"ITAO 20600,ITAO 24601,ITAO 20210,ITAO 24210,ITAO 24211,EG 10116,ACMS 20220"
ITAO 30250,"ITAO 20200,ITAO 24201,ACMS 30540,ACMS 30600,MATH 30540,ECON 30331"
ITAO 30250,"ITAO 20600,ITAO 24601,ITAO 20210,ITAO 24211,ITAO 24210,EG 10116,ACMS 20220"
ITAO 30630,"ITAO 20600,ITAO 24601,ITAO 20210,ITAO 24210,ITAO 24211,EG 10116,ACMS 20220"
ITAO 30640,"ITAO 20600,ITAO 24601,ITAO 24210,ITAO 24211,ITAO 20210,EG 10116,ACMS 20220"
ITAO 30660,"ITAO 20600,ITAO 24601,ITAO 20210,ITAO 24210,ITAO 24211,EG 10116,ACMS 20220"
ITAO 40230,"ITAO 20210,ITAO 24210,ACMS 20220,EG 10116"
ITAO 40250,"ITAO 30230,ITAO 34230,ITAO 34231,ITAO 34232"
ITAO 40250,"ITAO 30220,ITAO 34220,ITAO 34221"
ITAO 40250,"ITAO 20600,ITAO 24601,ITAO 30100"
ITAO 40430,"ITAO 30230,ITAO 34231,ITAO 34230,ITAO 34232"
ITAO 40530,"ITAO 30220,ITAO 34220,ITAO 34221"
ITAO 40530,"ITAO 30230,ITAO 34230,ITAO 34231,ITAO 34232"
ITAO 40550,ITAO 30220
ITAO 40570,"ITAO 20200,ITAO 24201,ACMS 10145,ACMS 10091,ACMS 30530,ACMS 20340,ACMS 30440,MATH 30530,ECON 30330,ECON 30340,PSY 30100,SOC 30903"
ITAO 40570,"ITAO 20210,ITAO 24211,ITAO 30210,FIN 40260,FIN 40260,ACCT 30180,ACCT 30180,ACCT 40280,CDT 20642,CDT 24642,CDT 30010,CDT 30020,CDT 34020,EG 10116,EG 14116"
ITAO 40575,MARK 20100
ITAO 50850,"ITAO 40420,ITAO 44420"
ITAO 50850,ITAO 40250
JED 30112,JED 30100
JED 30132,JED 30100
JED 30147,JED 30100
JED 30150,JED 30100
JED 30151,JED 30100
KSGA 30001,ECON 10091
KSGA 30001,ECON 10010
LAW 70107,LAW 70101
LAW 70123,LAW 70101
LAW 70136,LAW 70909
LAW 70211,LAW 60703
LAW 70215,LAW 60703
LAW 70218,LAW 60703
LAW 70219,LAW 60703
LAW 70305,LAW 60307
LAW 70423,LAW 70605
LAW 70451,LAW 60302
LAW 70609,LAW 70605
LAW 70702,"LAW 70909,LAW 74909,LAW 70128,LAW 74124,LAW 74131,LAW 70137,LAW 74138"
LAW 70719,LAW 75719
LAW 70720,LAW 75720
LAW 70728,LAW 70726
LAW 70729,LAW 70726
LAW 70733,LAW 75733
LAW 73312,LAW 70311
LAW 73426,LAW 60302
LAW 73833,LAW 60707
LAW 75111,"LAW 70101,LAW 74101"
LAW 75630,LAW 70807
LAW 75700,LAW 75699
LAW 75721,"LAW 70101,LAW 74101"
LAW 75721,"LAW 70807,LAW 74807,LAW 73127,LAW 70808"
LAW 75727,"LAW 70201,LAW 74201"
LAW 75727,"LAW 75709,LAW 75710"
LAW 75727,"LAW 70807,LAW 74807,LAW 73127,LAW 70808"
LAW 75727,LAW 75726
LAW 75729,"LAW 70201,LAW 74201"
LAW 75729,"LAW 70807,LAW 70808"
LAW 75733,LAW 70803
MARK 30100,MARK 20100
MARK 30120,MARK 20100
MARK 30130,MARK 20100
MARK 30440,MARK 20100
MARK 30450,MARK 20100
MARK 30500,MARK 20100
MARK 30650,MARK 20100
MARK 40150,MARK 20100
MARK 40470,"MARK 20100,MDMK 20100"
MARK 40470,"MARK 30470,MDMK 30470"
MATH 10860,MATH 10850
MATH 20480,MATH 10260
MATH 20550,MATH 10560
MATH 20580,"MATH 20550,ACMS 20550"
MATH 20750,MATH 20610
MATH 20820,MATH 20810
MATH 20860,MATH 20850
MATH 30530,"MATH 20850,MATH 24550,ACMS 20550"
MATH 30540,MATH 30530
MATH 30610,"MATH 10350,MATH 10550,MATH 10091,MATH 10850,ACMS 10550"
MATH 30650,MATH 20580
MATH 30710,"MATH 20580,MATH 20610"
MATH 30750,MATH 20630
MATH 30820,MATH 30810
MATH 30860,MATH 30850
MATH 40390,"MATH 20750,MATH 20860,MATH 30650"
MATH 40390,"MATH 20610,MATH 20810,MATH 20580"
MATH 40390,"ACMS 20210,ACMS 20220,CSE 20232,CSE 20211"
MATH 40480,MATH 20550
MATH 40570,MATH 30530
MATH 40570,"MATH 20750,MATH 30650"
MATH 40570,"MATH 30750,MATH 30850"
MATH 40570,FIN 30600
MATH 40570,FIN 70670
MATH 40730,"MATH 20750,MATH 30650,ACMS 20750,ACMS 20220"
MATH 40910,MATH 30710
MATH 50570,"MATH 30530,MATH 30650"
MATH 50570,"MATH 30750,MATH 30850"
MATH 50570,FIN 30600
MATH 50570,FIN 70670
MATH 80220,MATH 60210
MBA 70265,"MBA 60250,FIN 60500"
MBA 70325,MBA 60310
MBA 70330,"MBA 60310,ITAO 60200"
MBA 70390,MBA 60310
MDMK 30100,"MARK 20100,MDMK 20100,BASC 20250"
MDMK 30440,"MDMK 20100,MARK 20100,BASC 20250"
MDSC 20009,"CSE 10101,CSE 14101,ITAO 30210,FIN 40260,ACMS 20220,CDT 30010"
MEAR 10002,MEAR 10001
MEAR 20004,MEAR 20003
MEAR 30006,MEAR 30005
MEHE 10002,MEHE 10001
MGA 60710,MGA 60202
MGTO 30110,"MGTO 20100,MGTO 24100,MGTO 24105,MGTO 20000"
MGTO 30110,"ACCT 20100,ACCT 24101"
MGTO 30110,MARK 20100
MGTO 30110,"FIN 20150,FIN 24150"
MGTO 30110,"ITAO 20600,ITAO 24601"
MGTO 30110,"ACMS 10145,ACMS 14145,ACMS 10091,ACMS 30530,ITAO 20200,ITAO 24201,ECON 30330,ECON 30340,MATH 30530"
MGTO 30200,"ACMS 30530,ACMS 10145,ACMS 10091,MATH 30530,ITAO 20200,ECON 30330,ECON 30340"
MGTO 30200,"MGTO 20100,MGTO 20000"
MGTO 30320,ACCT 20100
MGTO 30410,"MGT 20200,MGTO 20100,MGTO 24105,MGTO 20000"
MGTO 35310,MGTO 30310
MGTO 40612,"MGTO 30310,MGTO 44020"
MGTO 40612,"MGTO 35310,MGTO 35311"
MGTO 40720,MGTO 20000
MGTO 41500,MGTO 30500
MI 20473,THEO 10001
MSL 30302,MSL 20201
MSL 40402,MSL 37302
MUS 20002,MUS 20001
MUS 20012,MUS 20011
MUS 20112,MUS 20001
MUS 30004,MUS 20002
MUS 50021,MUS 20002
NSBH 21450,"NSBH 20450,SC 20450,BIOS 20450"
NSBH 30301,CHEM 10172
NSBH 30301,CHEM 10182
NSBH 30301,"SC 20450,NSBH 20450,BIOS 20450"
NSBH 40300,"NSBH 20450,BIOS 30338,BIOS 20450,SC 20450"
NSBH 40404,CHEM 10172
NSBH 40404,CHEM 10182
NSBH 40404,"SC 20450,NSBH 20450"
PHIL 20255,"CNST 30610,GSC 13190,MI 13185,PHIL 10100,PLS 13185"
PHIL 20408,"CNST 30610,GSC 13190,MI 13185,PHIL 10100,PLS 13185"
PHIL 20409,"CNST 30610,GSC 13190,MI 13185,PHIL 10100,PLS 13185"
PHIL 20414,"CNST 30610,GSC 13190,MI 13185,PHIL 10100,PLS 13185"
PHIL 20443,"CNST 30610,GSC 13190,MI 13185,PHIL 10100,PLS 13185"
