ACCT 40510,"The study of an independent accountant's auditing and assurance services.  Topics include risk assessment, internal controls, audit testing and evidence, assessment of materiality, auditor's reporting, and independence and ethics.  Course cannot be taken Pass/Fail."
ACCT 40610,"This course is intended to help students acquire a broad perspective of taxation that is relevant for current as well as future tax regimes.  The basic federal income tax provisions applicable to individuals, sole proprietorships, corporations, and small business firms are covered in this course, which emphasizes their rationale and significance in business and investment decision making.  The course is an integrated blend of tax law, tax planning, tax research, accounting, economics, and finance.  Specific topics include: gross income; business and individual deductions; business and individual tax credits; losses and loss limitations; issues concerning property transactions such as basis, gain and loss, nontaxable exchanges, capital gains and losses, section 1231, and recapture provisions; self-employment tax considerations; and capital structure.  Course cannot be taken Pass/Fail. "
ACCT 40710,"This course (ACCT 40710) involves the application of the following legal topics to business situations:  organization structures and entity selection; secured transactions, mortgages, and creditor rights; commercial paper and negotiable instruments, including promissory notes; real estate including an analysis of various fee interests and personal property; and a general overview of estate and trust law.  The course is highly recommended for students planning to sit for the CPA exam, as well as students planning to go to law school.  Additionally, the course is beneficial for future business owners and managers and the course fulfills one of the class requirements for the Real Estate Minor.  This course cannot be taken Pass/Fail."
ACCT 40830,"Academic Research in Accounting expands students' perspectives of accounting beyond GAAP by introducing, via a seminar style format, students to capital markets research with an emphasis on broad accounting topics. Topics covered include audit quality, earnings management, fair value accounting, ownership structure, linguistics, and the role of gender and diversity on firm performance. The course introduces students to research methods, illustrates a protocol to interpret research, and uses the protocol to probe in detail issues important to accounting regulators. The course trains students to be consumers of research that bears on important issues in accounting. Following completion of the course, students will understand the role of science in accounting and how to interpret academic accounting research. Course cannot be taken Pass/Fail."
ACMS 10140,"This course is intended for students who may or may not plan to use statistics in their chosen careers, but wish nevertheless to become informed and astute consumers. Topics include statistical decision-making and inference, sampling, data representation, random variables, elementary probability, conditional probabilities, independence, Bayes' rule, and linear regression analysis. The methodology will focus on a hands-on approach. Concepts and terminology will be introduced only after thorough exposure to situations that necessitate the concepts and terms. Care will be exercised to select a variety of situations from the many fields where statistics are used in modern society. Examples will be taken from biology and medicine (e.g. drug testing, wild animal counts), the social sciences, psychology, and economics. "
ACMS 10550,"Concepts and applications of limits, differentiation, optimization, introduction to integration, and the fundamental theorem of calculus. Concepts will be illustrated using visualizations and animations using a computer algebra system (CAS).  Course is limited to students intending to major in ACMS."
ACMS 10560,"Concepts and applications of integration, geometric and power series, and introduction to complex numbers as time allows. Concepts will be illustrated using visualizations and animations using a computer algebra system (CAS).  Course is limited to students intending to major in ACMS."
ACMS 11550,Lab that supplements Applied Calculus I.  Course is limited to students intending to major in ACMS
ACMS 11560,Lab that supplements Applied Calculus II.  Course is limited to students intending to major in ACMS
ACMS 20220,"This course is an introduction to computer programming using the Python programming language, with an emphasis on solving mathematical and statistical problems."
ACMS 20340,"An introduction to the principles of statistical inference following a brief introduction to probability theory. This course does not count as a science or mathematics elective for mathematics majors. NOTE: Students may not take more than one of ACMS 20340, BIOS 40411 and MATH 20340. Not open to students who have taken MATH 30540."
ACMS 20550,"An introduction to the methods of applied mathematics. Topics include: basic linear algebra, partial derivatives, Taylor and power series in multiple variables, Lagrange multipliers, multiple integrals, gradient and line integrals, Green's theorem, Stokes theorem and divergence, Fourier series and transforms, introduction to ordinary differential equations. Applications to real-world problems in science, engineering, the social sciences and business will be emphasized in this course and ACMS 20750. Computational methods will be taught. Credit is not given for both ACMS 20550 and PHYS 20451."
ACMS 20620,The objective of this class is to impart the fundamental knowledge in linear algebra and computational linear algebra that are needed to solve matrix algebra problems in application areas. Appropriate software packages will be used. 
ACMS 20750,"The fundamental methods of applied mathematics are continued in this course.  Topics include: variational calculus, special functions, series solutions of ordinary differential equations (ODE), orthogonal functions in the solution of ODE, basic partial differential equations and modeling heat flow, vibrating string, and steady-state temperature. Topics in complex function theory include contour integrals, Laurent series and residue calculus, and conformal mapping. The course concludes with a basic introduction to probability and statistics.  Credit is not given for both ACMS 20750 and PHYS 20452."
ACMS 21220,Lab for Scientific Computing with Python.
ACMS 21340,two Lab sessions for Statistics for Life Sciences  (ACMS 20340)
ACMS 22550,Tutorial for Introduction to Applied Mathematics Methods I
ACMS 22750,Tutorial for Introduction to Applied Mathematics Methods II.
ACMS 30440,"An introduction to the theory of probability and statistics, with applications to the computer sciences and engineering. Topics include discrete and continuous random variables, joint probability distributions, the central limit theorem, point and interval estimation and hypothesis testing."
ACMS 30530,"An introduction to the theory of probability, with applications to the physical sciences and engineering. Topics include discrete and continuous random variables, conditional probability and independent events, generating functions, special discrete and continuous random variables, laws of large numbers and the central limit theorem. The course emphasizes computations with the standard distributions of probability theory and classical applications of them."
ACMS 30550,"An introduction to mathematical statistics. Topics include distributions involved in convergence concepts, estimators and their properties, confidence intervals, hypothesis testing, and linear models and estimation by least squares."
ACMS 30600,Introduction to statistical methods with an emphasis on analysis of data. Estimation of central values. Parametric and nonparametric hypothesis tests. Categorical data analysis. Simple and multiple regression. Introduction to time series.  The SOA has approved this course for VEE credit in Applied Statistics.
ACMS 30617,"This course will teach students how to use Structured Query Language (SQL) to access and manipulate data stored in databases. Students will learn fundamental commands for filtering records, selecting variables, and merging data tables. These skills will be applied in the context of solving statistical problems in which students are presented with a research question, use SQL to obtain the appropriate data set, and then use the data to create an appropriate visualization and/or conduct a statistical inference to answer the question."
ACMS 31600,Lab for Statistical Methods and Data Analysis I
ACMS 40390,"An introduction to the numerical solution of ordinary and partial differential equations. Topics include the finite difference method, projection methods, cubic splines, interpolation, numerical integration methods, analysis of numerical errors, numerical linear algebra and eigenvalue problems, and continuation methods."
ACMS 40630,"Theory of nonlinear dynamical systems has applications to a wide variety of fields, from physics, biology, and chemistry, to engineering, economics, and medicine. This is one of its most exciting aspects - that it brings researchers from many disciplines together with a common language. A dynamical system consists of an abstract phase space or state space, whose coordinates describe the dynamical state at any instant; and a dynamical rule which specifies the immediate future trend of all state variables, given only the present values of those same state variables. Dynamical systems are deterministic if there is a unique consequent to every state, and stochastic or random if there is more than one consequent chosen from some probability distribution. A dynamical system can have discrete or continuous time. The discrete case is defined by a map and the continuous case is defined by a flow. Nonlinear dynamical systems have been shown to exhibit surprising and complex effects that would never be anticipated by a scientist trained only in linear techniques. Prominent examples of these include bifurcation, chaos, and solitons. This course will be self-contained."
ACMS 40730,Introductory course on applied mathematics and computational modeling with emphasis on modeling of biological problems in terms of differential equations and stochastic dynamical systems. Students will be working in groups on several projects and will present them in class in the end of the course.
ACMS 40740,"This course will introduce students to some of the most common computational and mathematical models used in neuroscience. In addition to developing a deeper understanding of some biological processes in the brain, students will learn mathematical and computational approaches to studying dynamical systems and modeling physical phenomena. The course is appropriate as an elective for Neuroscience or ACMS majors. The course assumes some experience with linear algebra and probability or statistics, but does not assume any background in biology or neuroscience. Some programming experience is helpful, but not necessary. After completing the course, students will be able to create mathematical models of neural systems, simulate these models in Python, and use mathematical techniques to study the models. Students will also obtain some limited experience with analyzing neural data."
ACMS 40750,"An introduction to partial differential equations. Topics include Fourier series, solutions of boundary value problems for the heat equation, wave equation and Laplace's equation, Fourier transforms, and applications to solving heat, wave and Laplace's equations in unbounded domains."
ACMS 40760,"Stochastic modeling is a technique of presenting data or predicting outcomes that takes into account a certain degree of randomness, or unpredictability. Topics include (i) Short Review of Probability - Major discrete and continuous distributions, properties of random variables.  (ii) Conditional probability and conditional expectation, sums of random variables, martingales. (iii) Introduction to Discrete Markov Chains - Transition probability matrix of a Markov chain, some Markov chain models, first step analysis, the absorbing Markov chains, various types and classifications of Markov chains.  (iv) Long Run (asymptotic) Behavior of Markov Chains: Limiting distribution, the classification of states, irreducible Markov chains, periodicity of Markov chains, recurrent and transient states, the basic limit theorem of Markov chains. (v) Poisson Processes - The Poisson distribution and the Poisson process, the law of rare events, distributions associated with the Poisson process, the Uniform distribution and Poisson processes. (vi) Continuous Time Markov Chains - Pure birth and death processes and it's limiting behavior. (vii) Introduction to Brownian Motion, Drift and Diffusion, Geometric Brownian motion, Ornstein-Uhlenbeck process and it's long run behavior. (viii) Monte Carlo Simulations for Diffusion."
ACMS 40770,"This course will develop practical techniques for the simulation of stochastic systems. Stochastic models (as opposed to deterministic) do not produce the same outcome from identical input parameters. Extreme weather, the outcome of sporting events, or the fluctuation of asset prices observed in the stock market are examples of natural and human systems that we wish to understand, but that are governed largely by stochastic (or random) processes. This course will develop a suite of computational methods, collectively called Stochastic Simulation Algorithms (SSAs), for understanding the range, or distribution, of outcomes that can arise from stochastic models. The course will emphasize practical implementation and benchmarking of algorithms in Python."
ACMS 40842,"This is an introductory and applied course in time series analysis. Popular time series models and computational techniques for model estimation, diagnostic and forecasting will be discussed. Although the book focuses on financial data sets, other data sets, such as climate data, earthquake data and biological data, will also be included and discussed within the same theoretical framework."
ACMS 40875,"Data mining is widely used to discover useful patterns and relationships in data. We will emphasize on large complex datasets such as those in very large databases or web-based mining. The topics will include data visualization, decision trees, association rules, clustering, case based methods, etc."
ACMS 40878,"This course introduces basic computing methods for statistics. Topics are organized into two major parts: optimization and integral approximation. Optimization techniques are commonly used in statistics for finding maximum likelihood estimators, minimizing risks in a Bayesian decision problem, solving nonlinear least square problems, and a wide variety of other tasks all involving optimizations. Approximation of integrals is frequently required for Bayesian inference, since a posterior distribution may not belong to a familiar distributional family. Integral approximation is also useful in some maximum likelihood inference problems when the likelihood itself is a function of one or more integrals."
ACMS 46800,Readings not covered in the curriculum which relate to the student's area of interest.
ACMS 48498,Research in collaboration with members of the faculty. Evaluation of performance will be accomplished through regular discussions with the faculty member in charge of the course.
ACMS 48500,"To produce a thesis that describes work of an undergraduate research project. The undergraduate thesis must go beyond what is found in an undergraduate course, and present a novel approach to a subject."
ACMS 60101,This course will prepare students to understand actuarial liability models and provide an understanding of the mathematics required to project contingent cash flows in to the future. This will combine theory of interest with probability concepts and apply them in a business context. During this course students will use an industry-leading actuarial modelling software to develop and price an insurance product.  This course will also provide a foundational understanding of the topics covered in the FAM actuarial exam.
ACMS 60105,"In this course, students will learn the role of the Investment Actuary and the Portfolio Management Process in the Life Insurance company context, as well as the common forms of Fixed income securities and their uses. In addition, student will learn about the use of financial derivatives for hedging purposes. Finally, students will study the methods and processes used for evaluating portfolio performance and asset allocation.  This course will also provide insights necessary for a portion of the LPM actuarial exam."
ACMS 60470,"This course focuses on the theory and application of modeling tools to investigate atmospheric dynamics and dispersion processes relevant for a range of environmental applications. Different numerical modeling frameworks, including Gaussian, Lagrangian and Eulerian models at different spatial scales will be presented. The students will learn how to perform model simulations and analyze simulated output using statistical techniques for model evaluation and uncertainty quantification. The course includes lectures, in-class practice of different modeling tools, homework, as well as the development of a research project focused on a real world environmental case study."
ACMS 60617,"This course will teach students how to use Structured Query Language (SQL) to access and manipulate data stored in databases. Students will learn fundamental commands for filtering records, selecting variables, and merging data tables. These skills will be applied in the context of solving statistical problems in which students are presented with a research question, use SQL to obtain the appropriate data set, and then use the data to create an appropriate visualization and/or conduct a statistical inference to answer the question. "
ACMS 60630,"Theory of nonlinear dynamical systems has applications to a wide variety of fields, from physics, biology, and chemistry, to engineering, economics, and medicine. This is one of its most exciting aspects--that it brings researchers from many disciplines together with a common language. A dynamical system consists of an abstract phase space or state space, whose coordinates describe the dynamical state at any instant; and a dynamical rule which specifies the immediate future trend of all state variables, given only the present values of those same state variables. Dynamical systems are deterministic if there is a unique consequent to every state, and stochastic or random if there is more than one consequent chosen from some probability distribution. A dynamical system can have discrete or continuous time. The discrete case is defined by a map and the continuous case is defined by a flow. Nonlinear dynamical systems have been shown to exhibit surprising and complex effects that would never be anticipated by a scientist trained only in linear techniques. Prominent examples of these include bifurcation, chaos, and solitons. This course will be self-contained."
ACMS 60640,"Theory of nonlinear dynamical systems has applications to a wide variety of fields, from mathematics, physics, biology, and chemistry, to engineering, economics, and medicine. This is one of its most exciting aspects--that it brings researchers from many disciplines together with a common language.  Dynamical systems are deterministic if there is a unique consequent to every state, and stochastic or random if there is more than one consequent chosen from some probability distribution. A dynamical system can have discrete or continuous time. The discrete case is defined by a map and the continuous case is defined by a flow. Nonlinear dynamical systems have been shown to exhibit surprising and complex effects. Prominent examples of these include bifurcation and chaos. Applications to population dynamics, cancer growth and spread of infection will be discussed amongst others. This course will be self-contained."
ACMS 60690,A solid theoretical introduction to numerical analysis. Polynomial interpolation. Least squares and the basic theory of orthogonal functions. Numerical integration in one variable. Numerical linear algebra. Methods to solve systems of nonlinear equations. Numerical solution of ordinary differential equations. Solution of some simple partial differential equations by difference methods.
ACMS 60786,"The first half of this course introduces simple linear regression and multiple regression. The topics include least squares estimation for simple linear regression, matrix notation for multiple regression, least squares estimators, prediction intervals, expectations and distributions of quadratic Forms, analysis of variance, generalized linear hypothesis, simultaneous confidence intervals and joint confidence regions. The second half of this course focuses on advanced topics in linear regression, including the Gauss-Markov theorem, model selection and variable selection, nonlinear regression, Box-Cox transformation, generalized least squares, and techniques used when multicollinearity is a problem, such as principal components regression and ridge regression. Finally, an important generalization of linear regression model, mixed effect model, will be discussed."
ACMS 60842,"This is an introductory and applied course in time series analysis. Popular time series models and computational techniques for model estimation, diagnostic and forecasting will be discussed. Although the book focuses on financial data sets, other data sets, such as climate data, earthquake data and biological data, will also be included and discussed within the same theoretical framework."
ACMS 60850,"A thorough introduction to probability theory. Elements of measure and integration theory. Basic setup of probability theory (sample spaces, independence). Random variables, the law of large numbers. Discrete random variables (including random walks); continuous random variables, the basic distributions and sums of random variables. Generating functions, branching processes, basic theory of characteristic functions, central limit theorems. Markov chains. Various stochastic processes, including Brownian motion, queues and applications. Martingales. Other topics as time permits."
ACMS 60875,"Data mining is widely used to discover useful patterns and relationships in data. We will emphasize on large complex datasets such as those in very large databases or web-based mining. The topics will include data visualization, decision trees, association rules, clustering, case based methods, etc."
ACMS 60885,"A comprehensive treatment of the statistical analysis from a Bayesian perspective. Modern computational tools such as MCMC are emphasized. The principles of Bayesian analysis are described with an emphasis on practical rather than theoretical issues, and illustrated with actual data. A variety models are considered, including linear/nonlinear regression, hierarchical models, generalized linear model, and mixed models.  Issues on data collection, model formulation, computation, and model checking and sensitivity analysis are also covered."
ACMS 60888,"This course introduces statistical computing and Monte Carlo methods. Topics are organized into two major parts: optimization and Monte Carlo methods. Optimization techniques are commonly used in statistics for finding maximum likelihood estimators, minimizing risks in a Bayesian decision problem, solving nonlinear least square problems, and a wide variety of other tasks all involving optimizations. Monte Carlo statistical methods, particularly those based on Markov chains, have been a part of standard computational techniques used in Bayesian data analysis, because a posterior distribution may not belong to a familiar distribution family. Prerequisite: Students are expected to have some basic knowledge in mathematical statistics and Bayesian statistics. Students are expected to be familiar with R programming. Basic R implementation will not be dealt with in this class."
ACMS 63010,"A discussion of current topics in ACMS by guest lecturers and members of the faculty (offered every semester).   For first-year doctoral students, to receive an S grade, a report summarizing (a) subject matters and (b) main results of a minimum of 8 ACMS colloquiums must be sent to DGS by the last week of classes. Students register for the course in each semester of the first year to receive 0.5 credit hours per semester (1 credit hours per year).  For second- to fourth- year doctoral students, to receive an S grade,  they need to attend a minimum of 4 Applied Mathematics or Statistics seminars in each semester but only register for the spring semester each year. 0.5 credit hours will be awarded  each year after attending at least 4 seminars each semester."
ACMS 70732,"Theory and implementation of numerical methods to solve inviscid and viscous hyperbolic PDEs, including the shallow water, Euler, and Navier-Stokes equations. Topics include: finite difference methods, first- and second-order finite volume methods on structured and unstructured meshes, shock capturing techniques (limiting, artificial viscosity, ENO/WENO), domain decomposition for parallel computations, visualization, and verification/validation. If time permits, more advanced topics will be covered, e.g., discontinuous Galerkin methods, shock fitting, multigrid, multiphase flows, and basic fluid-structure interaction."
ACMS 80870,The subject matter of this course will be an advanced topic in statistics.
ACMS 96697,Readings not covered in the curriculum which relate to the student's area of interest.
ACMS 98698,Research and dissertation for resident graduate students.
ACMS 98900,Required of nonresident graduate students who are completing their dissertations in absentia and who wish to retain their degree status.
ACTG 20100,"An introduction to financial accounting and the accounting profession, with an emphasis on the decision-usefulness of accounting information. The course stresses the relation of accounting to economic activity, organizing information for decision-making, the resource acquisition decision, the uses of cash and noncash resources, the accounting for selling and manufacturing activities, and the information needs of multiple owners, lenders and equity holders. A prerequisite of all accountancy and finance courses. Course cannot be taken Pass/Fail."
ACTG 20200,"A continuation of the introduction to accounting, with an emphasis on the use of accounting information and analysis for management decision and control. The purpose of the course is the learning of accounting techniques such as budget preparation, cost-volume-profit analysis, variable costing, contribution margins, relevant costing, performance evaluation of business units, transfer pricing and responsibility accounting for the planning, decision making and management control inside an organization. To complete a general knowledge of accounting and its usefulness in financial reporting and control the course also includes an introduction to auditing, attestation, corporate governance and the impact of Sarbanes Oxley Act on business organizations, plus an introduction to US taxation for individuals and corporations.  Course cannot be taken Pass/Fail."
AFST 10575,"Creole is spoken by an estimated seventeen million people.  Creole is spoken on the islands of the Caribbean and the western Indian Ocean that were former or current French colonial possessions and in the countries where many of these former island residents have emigrated, including the United States, Canada, France, Dominican Republic, Bahamas and other parts of Latin America and the Caribbean.  Haitians are the largest Creole speech community of approximately eleven and a half million speakers.  Creole language courses provide a valuable foundation for Notre Dame faculty, staff and students working to understand and address critical issues related to Haiti and the Francophone world, from language and culture to history and education, from engineering to public health.  Creole language and literature are of increasing interest in the dynamic field of Francophone studies.  Creole has also become a major area in the field of linguistics, especially in areas of language evolution, sociolinguistics and linguistic anthropology.   Students attend class with an instructor (T-TH) and work on-line (MWF). The instructor will balance both spoken and written Creole as well as exercise reading and listening."
AFST 10577,"Swahili is offered through the Less Commonly Taught Languages (LCTs) Program at the Center for the Study of Languages and Cultures (CSLC). Class days and times are TBA and will be determined based on the availability of the students who have registered for the course. Days and times will be selected after all students have registered but before the add/drop period has finished. This course will be taught by a visiting scholar for whom Swahili is a native language. For more information, please visit the CSLC website (cslc.nd.edu) and select the Students tab."
AFST 10578,"On completion of the intermediate level course, students will use some of the following strategies to maintain communication, but not all of the time and inconsistently, able to ask questions, ask for clarification, self-correct or restate when not understood, circumlocute, recognizes and uses some culturally appropriate vocabulary, expressions, and gestures when participating in everyday interactions. Recognizes that differences exist in cultural behaviors and perspectives and can conform in familiar situations, understands main ideas and some supporting details on familiar topics from a variety of texts; comprehends main ideas and identifies some supporting details; may show emerging evidence of the ability to make inferences by identifying key details from the text; ccomprehends information related to basic personal and social needs and relevant to one's immediate environment such as self and everyday life, school, community, and particular interests; comprehends simple stories, routine correspondence, short descriptive texts or other selections within familiar contexts; generally comprehends connected sentences and much paragraph-like discourse; comprehends information-rich texts with highly predictable order; sufficient control of language (vocabulary, structures, conventions of spoken and written language, etc.) to understand fully and with ease short, non-complex texts on familiar topics; limited control of language to understand some more complex texts; may derive meaning by comparing target language structures with those of the native language; recognize parallels in structure between new and familiar language; comprehends high frequency vocabulary related to everyday topics and high frequency idiomatic expressions; may use some or all of the following strategies to comprehend texts, able to: skim and scan; use visual support and background knowledge; predict meaning based on context, prior knowledge, and/or experience; use context clues; recognize word family roots, prefixes and suffixes. Generally relies heavily on knowledge of own culture with increasing knowledge of the target culture(s) to interpret texts that are heard, read, or viewed."
AFST 10581,"Swahili is offered through the Less Commonly Taught Languages (LCTs) Program at the Center for the Study of Languages and Cultures (CSLC). Class days and times are TBA and will be determined based on the availability of the students who have registered for the course. Days and times will be selected after all students have registered but before the add/drop period has finished. This course will be taught by a visiting scholar for whom Swahili is a native language. For more information, please visit the CSLC website (cslc.nd.edu) and select the Students tab."
AFST 13181,"An introduction to the seminar method of instruction accenting the organization and expression of arguments suggested by readings in sociology, political science, and psychology. Each of the seminars treats a particular sociological topic, such as family life, social problems, the urban crisis, poverty, etc.  Africana Studies is a broad, interdisciplinary field of study looking at Africa, the African Diaspora, and the African-American experience. As a result of this breadth there are endless avenues for study and exploration within the discipline."
AFST 20034,"In June 2020, prompted by the horrific killings of George Floyd, Ahmaud Arbery, and Breonna Taylor, our nation awakened to the brutality of institutional racism and the violence to human dignity it has wrought in communities of color throughout America's history. The movement for racial justice was renewed in vigor with nationwide protests and calls for action. Although the protests of 2020 have largely been a response to a crisis surrounding police violence, the calls to action have focused attention on the breadth of systemic racism in all facets of American life. In this course, students will engage weekly with a single event or concept, drawn from a variety of disciplines, necessary to understand and dismantle systemic racism. The course centers around a weekly guest-lecture series featuring authors, public intellectuals, faith leaders, and external and internal members of the academy. In each guest-lecture class period, the guest expert provides a sophisticated introduction to a discrete racial justice topic. Some lectures address historical events not widely known (e.g., the Tulsa massacre or the arrival of the first slave ship in the Americas in 1619); others address current racial inequities (e.g., the wealth gap, health outcomes, criminal justice, voter suppression); still others examine broad concepts (e.g., intersectionality, Catholic teaching on racism). Specific topics to be determined by expert availability. This three-credit version of the course is designed for students who are interested in a more intensive study of each week's topic. Students will participate in once-weekly in-person seminar sessions with readings to accompany the speaker and topic for the week. Following each guest lecture, students will gather briefly via zoom to reflect and respond. Throughout the course of the semester, students will compose a variety of short papers, lead classroom discussions, and complete a final project incorporating independent research on related topics."
AFST 20075,"This course will serve as an introduction to the field of international development, with particular focus on the various disciplines that have contributed to and shaped the development discourse over the past six decades.  Readings and lectures will draw from economics, political science, sociology, anthropology, environmental and technological sciences, public health and epidemiology, area studies, ethnic studies, and gender studies.  A large component of this course will focus on in-class discussions and presentations that engage the broader debates within development studies in order to critically evaluate the development discourse.  Required course work will include group or individual student projects that investigate current development issues and propose engaged solutions that incorporate social justice and human dignity."
AFST 20082,"Through a multidisciplinary and cross-cultural exploration, this course will 1) introduce students to key concepts, themes, and theories in the field of Africana Studies; and 2) introduce students to the identities and experiences of black populations throughout the global African Diaspora.  Over the course of the semester, we will tackle the following questions: What is Africana Studies? What are the historical, intellectual, and political origins of Africana Studies?  What are race and ethnicity? What is blackness? What roles do class, culture, gender, nationality, and religion, play in blackness? What is the African Diaspora?  What role does Africa play in blackness? How do the arts, humanities, and social sciences help us investigate, analyze, conceptualize, represent, and understand this thing we refer to as blackness?  What are some of the historical, geographical, socio-political, and cultural points of divergence observable between populations of African descent throughout the Diaspora and what, if any, are the points of commonality that unite these dispersed populations?"
AFST 20130,"Considering the contemporary rise in the aesthetics of the genre of black horror, this course will explore literary and artistic horror(s) that black artists examine in America. We will work to study how black horror reminds us of the power of crafting narratives in America. We will be watching numerous horror films and shows and reading numerous literary authors. We will be reading and working with authors like: Toni Morrison, Richard Wright, Gwendolyn Brooks, James Baldwin, Octavia Butler, and many others. A close observation of this genre will allow us to question what constitutes horror and how is it connected to the humanities, law, and elements of science as well? This course is designed to help you build sound critical arguments and analysis by writing multiple genres of essays like a narrative essay, a close analysis essay, a podcast essay, and a final research essay."
